Player;Date;Day;Comp;Round;Venue;Result;Squad;Opponent;Start;Pos;Min;Gls;Ast;PK;PKatt;Sh;SoT;CrdY;CrdR;Touches;Tkl;Int;Blocks;xG;npxG;xAG;SCA;GCA;Cmp;Att;Cmp%;PrgP;Carries;PrgC;Succ;Match Report;SoTA;GA;Saves;Save%;CS;PSxG;PKA;PKsv;PKm;Att (GK);Thr;Launch%;AvgLen;Opp;Stp;Stp%;#OPA;AvgDist
Albert Guðmundsson;2024-05-19;Sun;Serie A;Matchweek 37;Away;L 0–1;Genoa;Roma;N;FW;24;0;0;0;0;0;0;0;0;15;1;0;0;0.0;0.0;0.1;0;0;6;2;50.0;0;13;5;1;Match Report;;;;;;;;;;;;;;;;;;
Joško Gvardiol;2024-05-19;Sun;Premier League;Matchweek 38;Home;W 3–1;Manchester City;West Ham;Y;LB;90;0;0;0;0;1;0;0;0;88;5;1;0;0.1;0.1;0.0;3;0;77;0;92.8;2;57;2;0;Match Report;;;;;;;;;;;;;;;;;;
Emmanuel Gyasi;2024-05-19;Sun;Serie A;Matchweek 37;Away;D 1–1;Empoli;Udinese;Y;WB;90;0;0;0;0;0;0;1;0;32;3;0;0;0.0;0.0;0.0;1;0;18;1;69.2;1;20;0;0;Match Report;;;;;;;;;;;;;;;;;;
Erling Haaland;2024-05-19;Sun;Premier League;Matchweek 38;Home;W 3–1;Manchester City;West Ham;Y;FW;90;0;0;0;0;4;0;0;0;25;0;0;0;0.7;0.7;0.0;3;1;13;1;76.5;1;11;0;0;Match Report;;;;;;;;;;;;;;;;;;
Munir El Haddadi;2024-05-19;Sun;La Liga;Matchweek 37;Away;D 0–0;Las Palmas;Cádiz;N;LW;7;0;0;0;0;0;0;0;0;11;0;0;0;0.0;0.0;0.0;0;0;5;0;55.6;1;5;1;0;Match Report;;;;;;;;;;;;;;;;;;
Oualid El Hajjam;2024-05-19;Sun;Ligue 1;Matchweek 34;Home;L 1–2;Le Havre;Marseille;N;RB;18;0;0;0;0;2;1;0;0;20;0;0;0;0.1;0.1;0.0;2;1;11;0;61.1;2;13;0;0;Match Report;;;;;;;;;;;;;;;;;;
Gustavo Hamer;2024-05-19;Sun;Premier League;Matchweek 38;Home;L 0–3;Sheffield Utd;Tottenham;Y;CM;90;0;0;0;0;2;1;0;0;28;1;0;1;0.1;0.1;0.7;2;0;13;1;65.0;2;9;0;0;Match Report;;;;;;;;;;;;;;;;;;
Abdou Harroui;2024-05-19;Sun;Serie A;Matchweek 37;Away;W 1–0;Frosinone;Monza;Y;AM;71;0;1;0;0;5;3;0;0;37;3;1;1;0.9;0.9;0.5;5;2;19;3;79.2;6;19;8;2;Match Report;;;;;;;;;;;;;;;;;;
Daiki Hashioka;2024-05-19;Sun;Premier League;Matchweek 38;Home;L 2–4;Luton Town;Fulham;Y;CB;90;0;0;0;0;0;0;0;0;48;0;0;2;0.0;0.0;0.5;2;0;38;0;90.5;2;30;0;0;Match Report;;;;;;;;;;;;;;;;;;
Kai Havertz;2024-05-19;Sun;Premier League;Matchweek 38;Home;W 2–1;Arsenal;Everton;Y;FW;90;1;0;0;0;9;1;1;0;37;1;1;0;1.4;1.4;0.0;5;0;18;0;75.0;2;21;3;0;Match Report;;;;;;;;;;;;;;;;;;
Hwang Hee-chan;2024-05-19;Sun;Premier League;Matchweek 38;Away;L 0–2;Wolves;Liverpool;Y;FW;61;0;0;0;0;1;1;0;0;10;1;0;0;0.1;0.1;0.0;0;0;6;1;85.7;1;5;1;1;Match Report;;;;;;;;;;;;;;;;;;
Silvan Hefti;2024-05-19;Sun;Ligue 1;Matchweek 34;Away;D 2–2;Montpellier;Lens;Y;RM,RB;90;0;1;0;0;0;0;0;0;49;3;0;2;0.0;0.0;0.2;2;1;34;0;82.9;2;32;0;0;Match Report;;;;;;;;;;;;;;;;;;
Dean Henderson;2024-05-19;Sun;Premier League;Matchweek 38;Home;W 5–0;Crystal Palace;Aston Villa;Y;GK;90;;;;0;;;;;;;;;;;;;;3;0;60.0;;;;;Match Report;2;0;2;100.0;1;0.9;0;0;0;13;3;;;9;2;22.2;0;9.0
Christophe Hérelle;2024-05-19;Sun;Ligue 1;Matchweek 34;Home;L 0–2;Metz;Paris S-G;Y;CB;90;0;0;0;0;0;0;0;0;22;1;1;0;0.0;0.0;0.0;0;0;14;0;77.8;1;10;0;0;Match Report;;;;;;;;;;;;;;;;;;
Mario Hermoso;2024-05-19;Sun;La Liga;Matchweek 37;Home;L 1–4;Atlético Madrid;Osasuna;Y;CB;90;0;0;0;0;0;0;0;0;68;3;0;1;0.0;0.0;0.0;2;0;54;0;91.5;4;40;1;0;Match Report;;;;;;;;;;;;;;;;;;
Jorge Herrando;2024-05-19;Sun;La Liga;Matchweek 37;Away;W 4–1;Osasuna;Atlético Madrid;Y;CB;90;0;0;0;0;0;0;0;0;62;1;0;0;0.0;0.0;0.0;0;0;49;0;87.5;3;37;0;0;Match Report;;;;;;;;;;;;;;;;;;
Ander Herrera;2024-05-19;Sun;La Liga;Matchweek 37;Home;W 2–0;Athletic Club;Sevilla;N;DM;16;0;0;0;0;0;0;0;0;13;0;0;0;0.0;0.0;0.0;2;0;10;0;90.9;2;7;1;0;Match Report;;;;;;;;;;;;;;;;;;
Yangel Herrera;2024-05-19;Sun;La Liga;Matchweek 37;Away;W 3–1;Girona;Valencia;Y;DM;73;0;0;0;0;1;0;0;0;43;3;1;2;0.1;0.1;0.1;4;0;23;2;76.7;1;24;1;2;Match Report;;;;;;;;;;;;;;;;;;
Son Heung-min;2024-05-19;Sun;Premier League;Matchweek 38;Away;W 3–0;Tottenham;Sheffield Utd;Y*;LW;87;0;1;0;0;2;2;0;0;52;2;0;0;0.1;0.1;1.6;7;3;41;2;91.1;7;40;9;1;Match Report;;;;;;;;;;;;;;;;;;
Mason Holgate;2024-05-19;Sun;Premier League;Matchweek 38;Home;L 0–3;Sheffield Utd;Tottenham;N;RB;22;0;0;0;0;0;0;0;0;8;1;1;1;0.0;0.0;0.0;0;0;1;0;25.0;0;2;0;0;Match Report;;;;;;;;;;;;;;;;;;
Martin Hongla;2024-05-19;Sun;La Liga;Matchweek 37;Home;L 1–2;Granada;Celta Vigo;Y;CM,DM;72;0;0;0;0;0;0;0;0;40;2;0;1;0.0;0.0;0.0;0;0;30;0;83.3;2;24;0;0;Match Report;;;;;;;;;;;;;;;;;;
Callum Hudson-Odoi;2024-05-19;Sun;Premier League;Matchweek 38;Away;W 2–1;Nott'ham Forest;Burnley;Y;LW;87;0;0;0;0;0;0;0;0;32;2;1;1;0.0;0.0;0.1;3;0;22;3;78.6;5;19;4;1;Match Report;;;;;;;;;;;;;;;;;;
Elseid Hysaj;2024-05-19;Sun;Serie A;Matchweek 37;Away;D 1–1;Lazio;Inter;N;WB;25;0;0;0;0;0;0;0;0;9;0;0;0;0.0;0.0;0.0;0;0;9;0;90.0;0;5;0;0;Match Report;;;;;;;;;;;;;;;;;;
Pierre Højbjerg;2024-05-19;Sun;Premier League;Matchweek 38;Away;W 3–0;Tottenham;Sheffield Utd;N;DM;25;0;0;0;0;1;0;0;0;34;1;0;0;0.0;0.0;0.0;0;0;28;0;90.3;1;24;0;0;Match Report;;;;;;;;;;;;;;;;;;
Rasmus Højlund;2024-05-19;Sun;Premier League;Matchweek 38;Away;W 2–0;Manchester Utd;Brighton;N;FW;31;1;0;0;0;1;1;0;0;14;1;0;1;0.1;0.1;0.0;4;1;8;4;66.7;2;7;2;4;Match Report;;;;;;;;;;;;;;;;;;
Danny Ings;2024-05-19;Sun;Premier League;Matchweek 38;Away;L 1–3;West Ham;Manchester City;N;FW;5;0;0;0;0;0;0;0;0;2;0;0;0;0.0;0.0;0.0;0;0;1;0;50.0;1;1;1;0;Match Report;;;;;;;;;;;;;;;;;;
Tim Iroegbunam;2024-05-19;Sun;Premier League;Matchweek 38;Away;L 0–5;Aston Villa;Crystal Palace;N;CM;23;0;0;0;0;0;0;0;0;10;0;0;0;0.0;0.0;0.0;0;0;7;1;100.0;0;6;2;0;Match Report;;;;;;;;;;;;;;;;;;
Alexander Isak;2024-05-19;Sun;Premier League;Matchweek 38;Away;W 4–2;Newcastle Utd;Brentford;Y;FW;80;1;1;0;0;4;3;0;0;37;0;1;1;0.9;0.9;1.2;4;2;17;4;77.3;1;21;3;1;Match Report;;;;;;;;;;;;;;;;;;
Ismaily;2024-05-19;Sun;Ligue 1;Matchweek 34;Home;D 2–2;Lille;Nice;Y;LB;90;0;0;0;0;1;1;0;0;80;5;2;1;0.0;0.0;0.0;3;0;59;1;89.4;7;55;3;1;Match Report;;;;;;;;;;;;;;;;;;
Ardian Ismajli;2024-05-19;Sun;Serie A;Matchweek 37;Away;D 1–1;Empoli;Udinese;Y;CB;90;0;0;0;0;1;0;1;0;55;0;1;1;0.0;0.0;0.0;1;1;37;0;80.4;2;25;0;0;Match Report;;;;;;;;;;;;;;;;;;
Junya Ito;2024-05-19;Sun;Ligue 1;Matchweek 34;Home;W 2–1;Reims;Rennes;Y;RW;87;0;0;0;0;1;1;0;0;36;0;1;1;0.0;0.0;0.0;2;0;16;3;59.3;1;31;3;1;Match Report;;;;;;;;;;;;;;;;;;
Alex Iwobi;2024-05-19;Sun;Premier League;Matchweek 38;Away;W 4–2;Fulham;Luton Town;Y;AM;90;0;0;0;0;1;1;0;0;49;1;0;0;0.0;0.0;0.1;6;1;37;0;88.1;4;35;2;0;Match Report;;;;;;;;;;;;;;;;;;
Armando Izzo;2024-05-19;Sun;Serie A;Matchweek 37;Home;L 0–1;Monza;Frosinone;Y;CB;45;0;0;0;0;0;0;0;0;64;0;1;1;0.0;0.0;0.0;1;0;55;0;91.7;3;41;1;0;Match Report;;;;;;;;;;;;;;;;;;
Nicolas Jackson;2024-05-19;Sun;Premier League;Matchweek 38;Home;W 2–1;Chelsea;Bournemouth;Y;FW;90;0;0;0;0;4;1;0;0;34;0;0;1;0.3;0.3;0.1;3;0;17;5;68.0;1;21;5;4;Match Report;;;;;;;;;;;;;;;;;;
Jérémy Jacquet;2024-05-19;Sun;Ligue 1;Matchweek 34;Away;L 0–5;Clermont Foot;Lorient;Y;RB;90;0;0;0;0;0;0;0;0;55;1;2;2;0.0;0.0;0.0;1;0;31;0;75.6;5;30;3;0;Match Report;;;;;;;;;;;;;;;;;;
Vitaly Janelt;2024-05-19;Sun;Premier League;Matchweek 38;Home;L 2–4;Brentford;Newcastle Utd;Y;LM;73;1;0;0;0;1;1;0;0;46;1;0;2;0.2;0.2;0.1;1;0;32;0;84.2;3;27;0;0;Match Report;;;;;;;;;;;;;;;;;;
Mikel Jauregizar;2024-05-19;Sun;La Liga;Matchweek 37;Home;W 2–0;Athletic Club;Sevilla;N;AM;28;0;0;0;0;0;0;0;0;19;0;0;0;0.0;0.0;0.0;2;0;13;0;72.2;1;8;0;0;Match Report;;;;;;;;;;;;;;;;;;
Luis Javier Suárez;2024-05-19;Sun;La Liga;Matchweek 37;Away;D 2–2;Almería;Mallorca;Y;FW;64;0;0;0;0;0;0;0;0;35;0;0;1;0.0;0.0;0.0;0;0;19;2;79.2;0;21;1;0;Match Report;;;;;;;;;;;;;;;;;;
Danley Jean-Jacques;2024-05-19;Sun;Ligue 1;Matchweek 34;Home;L 0–2;Metz;Paris S-G;Y;RM;88;0;0;0;0;3;0;1;0;18;3;0;0;0.4;0.4;0.0;2;0;8;0;80.0;1;9;2;0;Match Report;;;;;;;;;;;;;;;;;;
Daniel Jebbison;2024-05-19;Sun;Premier League;Matchweek 38;Home;L 0–3;Sheffield Utd;Tottenham;N;FW;21;0;0;0;0;0;0;0;0;9;0;0;1;0.0;0.0;0.0;0;0;1;0;33.3;0;5;0;0;Match Report;;;;;;;;;;;;;;;;;;
Joelinton;2024-05-19;Sun;Premier League;Matchweek 38;Away;W 4–2;Newcastle Utd;Brentford;Y;LM;80;0;0;0;0;1;0;1;0;49;4;1;0;0.6;0.6;0.2;2;0;37;0;90.2;5;31;6;0;Match Report;;;;;;;;;;;;;;;;;;
Brennan Johnson;2024-05-19;Sun;Premier League;Matchweek 38;Away;W 3–0;Tottenham;Sheffield Utd;Y;RW;90;0;1;0;0;2;0;0;0;32;0;0;0;0.8;0.8;0.3;3;1;16;1;64.0;0;19;1;0;Match Report;;;;;;;;;;;;;;;;;;
Joseph Johnson;2024-05-19;Sun;Premier League;Matchweek 38;Home;L 2–4;Luton Town;Fulham;N;CB;74;0;0;0;0;0;0;1;0;33;0;0;0;0.0;0.0;0.0;0;0;28;0;84.8;2;15;0;0;Match Report;;;;;;;;;;;;;;;;;;
Willian José;2024-05-19;Sun;La Liga;Matchweek 37;Home;L 0–2;Betis;Real Sociedad;Y;FW;58;0;0;0;0;2;1;0;0;15;0;0;0;0.2;0.2;0.1;4;0;11;0;91.7;0;5;0;0;Match Report;;;;;;;;;;;;;;;;;;
