Player;Date;Day;Comp;Round;Venue;Result;Squad;Opponent;Start;Pos;Min;Gls;Ast;PK;PKatt;Sh;SoT;CrdY;CrdR;Touches;Tkl;Int;Blocks;xG;npxG;xAG;SCA;GCA;Cmp;Att;Cmp%;PrgP;Carries;PrgC;Succ;Match Report;SoTA;GA;Saves;Save%;CS;PSxG;PKA;PKsv;PKm;Att (GK);Thr;Launch%;AvgLen;Opp;Stp;Stp%;#OPA;AvgDist
Antoine Joujou;2024-05-19;Sun;Ligue 1;Matchweek 34;Home;L 1–2;Le Havre;Marseille;Y;LW;66;0;0;0;0;1;0;0;0;30;1;1;2;0.0;0.0;0.0;1;0;11;3;55.0;0;23;3;1;Match Report;;;;;;;;;;;;;;;;;;
Christopher Jullien;2024-05-19;Sun;Ligue 1;Matchweek 34;Away;D 2–2;Montpellier;Lens;Y;CB;90;0;0;0;0;0;0;0;0;51;1;2;0;0.0;0.0;0.0;1;0;40;0;90.9;3;34;0;0;Match Report;;;;;;;;;;;;;;;;;;
Eli Junior Kroupi;2024-05-19;Sun;Ligue 1;Matchweek 34;Home;W 5–0;Lorient;Clermont Foot;N;AM;13;0;0;0;0;0;0;0;0;11;0;0;0;0.0;0.0;0.0;0;0;5;1;55.6;0;11;1;0;Match Report;;;;;;;;;;;;;;;;;;
Abdoul Kader Bamba;2024-05-19;Sun;Ligue 1;Matchweek 34;Away;L 0–4;Nantes;Monaco;N;LM;29;0;0;0;0;1;0;0;0;19;0;0;0;0.1;0.1;0.0;1;0;13;2;76.5;1;19;2;0;Match Report;;;;;;;;;;;;;;;;;;
Yaya Kader Fofana;2024-05-19;Sun;Ligue 1;Matchweek 34;Home;W 2–1;Reims;Rennes;N;FW;3;0;0;0;0;0;0;0;0;3;0;0;0;0.0;0.0;0.0;0;0;2;0;66.7;0;2;0;0;Match Report;;;;;;;;;;;;;;;;;;
Tino Kadewere;2024-05-19;Sun;Ligue 1;Matchweek 34;Away;L 0–4;Nantes;Monaco;N;FW;63;0;0;0;0;1;0;0;0;24;0;0;0;0.2;0.2;0.3;2;0;14;4;73.7;2;17;1;2;Match Report;;;;;;;;;;;;;;;;;;
Gedeon Kalulu;2024-05-19;Sun;Ligue 1;Matchweek 34;Home;W 5–0;Lorient;Clermont Foot;N;WB;35;0;0;0;0;4;1;0;0;24;1;0;0;0.2;0.2;0.0;4;1;12;0;66.7;0;13;2;0;Match Report;;;;;;;;;;;;;;;;;;
Daichi Kamada;2024-05-19;Sun;Serie A;Matchweek 37;Away;D 1–1;Lazio;Inter;Y;AM;71;1;0;0;0;1;1;0;0;39;1;2;0;0.1;0.1;0.4;3;0;28;0;82.4;7;21;0;0;Match Report;;;;;;;;;;;;;;;;;;
Waren Kamanzi;2024-05-19;Sun;Ligue 1;Matchweek 34;Home;L 0–3;Toulouse;Brest;N;RM;24;0;0;0;0;2;0;0;0;18;0;0;0;0.4;0.4;0.0;1;0;12;0;80.0;1;14;1;0;Match Report;;;;;;;;;;;;;;;;;;
Hassane Kamara;2024-05-19;Sun;Serie A;Matchweek 37;Home;D 1–1;Udinese;Empoli;Y;WB;86;0;0;0;0;1;0;0;0;56;3;0;2;0.0;0.0;0.0;1;0;29;4;64.4;4;26;2;3;Match Report;;;;;;;;;;;;;;;;;;
Thomas Kaminski;2024-05-19;Sun;Premier League;Matchweek 38;Home;L 2–4;Luton Town;Fulham;Y;GK;75;;;;;;;;;;;;;;;;;;5;5;71.4;;;;;Match Report;6;4;2;33.3;;1.7;;;;20;4;20.0;21.2;8;;;4;39.8
Lee Kang-in;2024-05-19;Sun;Ligue 1;Matchweek 34;Away;W 2–0;Paris S-G;Metz;Y;RW;90;1;1;0;0;2;2;0;0;73;0;1;0;0.6;0.6;0.0;5;1;54;5;84.4;5;59;1;3;Match Report;;;;;;;;;;;;;;;;;;
Yann Karamoh;2024-05-19;Sun;Ligue 1;Matchweek 34;Away;D 2–2;Montpellier;Lens;N;LW,LM;32;0;0;0;0;1;0;0;0;18;0;0;0;0.0;0.0;0.0;2;0;9;2;64.3;0;12;1;1;Match Report;;;;;;;;;;;;;;;;;;
Panos Katseris;2024-05-19;Sun;Ligue 1;Matchweek 34;Home;W 5–0;Lorient;Clermont Foot;Y;WB;55;0;0;0;0;1;0;0;0;33;3;0;0;0.0;0.0;0.0;3;1;15;3;57.7;2;22;5;1;Match Report;;;;;;;;;;;;;;;;;;
Thilo Kehrer;2024-05-19;Sun;Ligue 1;Matchweek 34;Home;W 4–0;Monaco;Nantes;Y;CB;90;1;0;0;0;2;2;0;0;87;5;5;1;0.1;0.1;0.0;0;0;68;1;91.9;8;70;1;0;Match Report;;;;;;;;;;;;;;;;;;
Habib Keita;2024-05-19;Sun;Ligue 1;Matchweek 34;Away;L 0–5;Clermont Foot;Lorient;N;CM;32;0;0;0;0;0;0;0;0;29;0;1;0;0.0;0.0;0.0;0;0;21;1;84.0;3;22;0;1;Match Report;;;;;;;;;;;;;;;;;;
Lloyd Kelly;2024-05-19;Sun;Premier League;Matchweek 38;Away;L 1–2;Bournemouth;Chelsea;N;CB;7;0;0;0;0;0;0;0;0;8;0;0;1;0.0;0.0;0.0;0;0;4;0;57.1;0;5;0;0;Match Report;;;;;;;;;;;;;;;;;;
Omari Kellyman;2024-05-19;Sun;Premier League;Matchweek 38;Away;L 0–5;Aston Villa;Crystal Palace;N;FW;23;0;0;0;0;0;0;0;0;6;1;0;0;0.0;0.0;0.0;0;0;3;0;100.0;0;1;0;0;Match Report;;;;;;;;;;;;;;;;;;
Aljoscha Kemlein;2024-05-19;Sun;2. Bundesliga;Matchweek 34;Away;W 2–1;St. Pauli;Wehen;Y;CM;45;0;0;0;0;0;0;0;0;;;0;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Milos Kerkez;2024-05-19;Sun;Premier League;Matchweek 38;Away;L 1–2;Bournemouth;Chelsea;Y;LB;90;0;0;0;0;0;0;1;0;34;1;1;0;0.0;0.0;0.2;2;0;20;2;74.1;0;18;2;0;Match Report;;;;;;;;;;;;;;;;;;
Kaine Kesler-Hayden;2024-05-19;Sun;Premier League;Matchweek 38;Away;L 0–5;Aston Villa;Crystal Palace;N;RM;4;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0;0;0;0;;0;0;0;0;Match Report;;;;;;;;;;;;;;;;;;
Reda Khadra;2024-05-19;Sun;Ligue 1;Matchweek 34;Home;W 2–1;Reims;Rennes;N;LW;30;0;0;0;0;0;0;0;0;12;1;0;0;0.0;0.0;0.0;1;0;8;3;88.9;1;8;0;2;Match Report;;;;;;;;;;;;;;;;;;
Wahbi Khazri;2024-05-19;Sun;Ligue 1;Matchweek 34;Away;D 2–2;Montpellier;Lens;N;RW,FW;32;0;0;0;0;1;0;1;0;18;0;0;1;0.0;0.0;0.0;0;0;7;3;87.5;1;14;3;0;Match Report;;;;;;;;;;;;;;;;;;
Abdukodir Khusanov;2024-05-19;Sun;Ligue 1;Matchweek 34;Home;D 2–2;Lens;Montpellier;Y;CB;81;0;0;0;0;0;0;0;0;43;2;2;2;0.0;0.0;0.0;0;0;28;0;90.3;0;26;0;0;Match Report;;;;;;;;;;;;;;;;;;
Max Kilman;2024-05-19;Sun;Premier League;Matchweek 38;Away;L 0–2;Wolves;Liverpool;Y*;CB;90;0;0;0;0;0;0;0;0;51;0;1;5;0.0;0.0;0.0;0;0;29;1;82.9;1;16;0;0;Match Report;;;;;;;;;;;;;;;;;;
Justin Kluivert;2024-05-19;Sun;Premier League;Matchweek 38;Away;L 1–2;Bournemouth;Chelsea;Y;AM;58;0;0;0;0;2;0;0;0;16;1;0;0;0.1;0.1;0.0;1;0;7;2;100.0;0;10;0;0;Match Report;;;;;;;;;;;;;;;;;;
Randal Kolo Muani;2024-05-19;Sun;Ligue 1;Matchweek 34;Away;W 2–0;Paris S-G;Metz;N;FW;29;0;0;0;0;0;0;0;0;15;1;0;0;0.0;0.0;0.1;2;0;9;3;90.0;1;11;1;2;Match Report;;;;;;;;;;;;;;;;;;
Geoffrey Kondogbia;2024-05-19;Sun;Ligue 1;Matchweek 34;Away;W 2–1;Marseille;Le Havre;N;CM;21;0;0;0;0;0;0;0;0;15;2;0;0;0.0;0.0;0.1;1;0;12;0;85.7;2;12;0;0;Match Report;;;;;;;;;;;;;;;;;;
Ezri Konsa;2024-05-19;Sun;Premier League;Matchweek 38;Away;L 0–5;Aston Villa;Crystal Palace;Y;RB;90;0;0;0;0;1;0;0;0;71;1;0;0;0.1;0.1;0.0;1;0;53;2;81.5;0;39;2;1;Match Report;;;;;;;;;;;;;;;;;;
Jules Koundé;2024-05-19;Sun;La Liga;Matchweek 37;Home;W 3–0;Barcelona;Rayo Vallecano;Y;RB;90;0;0;0;0;0;0;0;0;99;0;0;0;0.0;0.0;0.0;2;1;83;1;87.4;8;78;0;0;Match Report;;;;;;;;;;;;;;;;;;
Cheikhou Kouyaté;2024-05-19;Sun;Premier League;Matchweek 38;Away;W 2–1;Nott'ham Forest;Burnley;N;RW;3;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0;0;0;0;;0;0;0;0;Match Report;;;;;;;;;;;;;;;;;;
Mateo Kovačić;2024-05-19;Sun;Premier League;Matchweek 38;Home;W 3–1;Manchester City;West Ham;N;CM;1;0;0;0;0;0;0;0;0;4;0;0;0;0.0;0.0;0.0;0;0;3;0;75.0;0;2;1;0;Match Report;;;;;;;;;;;;;;;;;;
Emil Krafth;2024-05-19;Sun;Premier League;Matchweek 38;Away;W 4–2;Newcastle Utd;Brentford;Y;RB,CB;90;0;0;0;0;0;0;1;0;46;0;0;0;0.0;0.0;0.0;2;0;36;1;83.7;1;29;2;0;Match Report;;;;;;;;;;;;;;;;;;
Rasmus Kristensen;2024-05-19;Sun;Serie A;Matchweek 37;Home;W 1–0;Roma;Genoa;N;LB,CM;1;0;0;0;0;0;0;0;0;4;0;0;0;0.0;0.0;0.0;0;0;0;0;0.0;0;1;0;0;Match Report;;;;;;;;;;;;;;;;;;
Mohammed Kudus;2024-05-19;Sun;Premier League;Matchweek 38;Away;L 1–3;West Ham;Manchester City;Y;RW;90;1;0;0;0;2;2;0;0;37;2;0;1;0.3;0.3;0.0;1;0;19;5;82.6;2;17;2;4;Match Report;;;;;;;;;;;;;;;;;;
Dejan Kulusevski;2024-05-19;Sun;Premier League;Matchweek 38;Away;W 3–0;Tottenham;Sheffield Utd;Y;FW,LW;90;2;0;0;0;5;3;0;0;46;1;1;1;0.6;0.6;0.1;4;0;23;4;82.1;3;29;3;1;Match Report;;;;;;;;;;;;;;;;;;
Marash Kumbulla;2024-05-19;Sun;Serie A;Matchweek 37;Home;L 0–2;Sassuolo;Cagliari;N;CB;71;0;0;0;0;0;0;0;0;46;1;0;0;0.0;0.0;0.0;0;0;27;0;73.0;3;26;1;0;Match Report;;;;;;;;;;;;;;;;;;
Berkan Kutlu;2024-05-19;Sun;Süper Lig;Matchweek 37;Home;L 0–1;Galatasaray;Fenerbahçe;N;;17;0;0;0;0;0;0;1;0;;;0;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Daler Kuzyaev;2024-05-19;Sun;Ligue 1;Matchweek 34;Home;L 1–2;Le Havre;Marseille;Y;AM;84;0;0;0;0;0;0;0;0;44;2;1;1;0.0;0.0;0.0;1;0;31;1;81.6;3;35;0;0;Match Report;;;;;;;;;;;;;;;;;;
Giorgos Kyriakopoulos;2024-05-19;Sun;Serie A;Matchweek 37;Home;L 0–1;Monza;Frosinone;Y;LB;45;0;0;0;0;0;0;0;0;40;1;0;0;0.0;0.0;0.0;0;0;33;2;86.8;5;28;4;1;Match Report;;;;;;;;;;;;;;;;;;
Luca de la Torre;2024-05-19;Sun;La Liga;Matchweek 37;Away;W 2–1;Celta Vigo;Granada;Y;CM;45;0;0;0;0;1;1;0;0;22;0;0;2;0.4;0.4;0.0;0;0;12;2;80.0;1;12;2;1;Match Report;;;;;;;;;;;;;;;;;;
Gaëtan Laborde;2024-05-19;Sun;Ligue 1;Matchweek 34;Away;D 2–2;Nice;Lille;Y;AM,RW;84;1;0;0;0;2;1;0;0;31;2;0;0;0.4;0.4;0.1;2;0;14;3;82.4;2;20;1;0;Match Report;;;;;;;;;;;;;;;;;;
Alexandre Lacazette;2024-05-19;Sun;Ligue 1;Matchweek 34;Home;W 2–1;Lyon;Strasbourg;Y*;FW;90;2;0;1;1;1;1;1;0;33;0;0;0;1.1;0.3;0.0;2;0;19;1;67.9;2;25;1;1;Match Report;;;;;;;;;;;;;;;;;;
Alban Lafont;2024-05-19;Sun;Ligue 1;Matchweek 34;Away;L 0–4;Nantes;Monaco;Y*;GK;90;;;;1;;;;;;;;;;;;;;5;3;45.5;;;;;Match Report;6;4;2;50.0;0;3.1;1;0;0;30;7;33.3;31.3;9;0;0.0;4;19.6
Kenny Lala;2024-05-19;Sun;Ligue 1;Matchweek 34;Away;W 3–0;Brest;Toulouse;Y;RB;90;1;0;0;0;1;1;0;0;72;2;1;0;0.1;0.1;0.0;2;0;49;0;75.4;6;51;1;0;Match Report;;;;;;;;;;;;;;;;;;
Adam Lallana;2024-05-19;Sun;Premier League;Matchweek 38;Home;L 0–2;Brighton;Manchester Utd;Y*;AM;56;0;0;0;0;3;0;0;0;20;0;0;0;0.3;0.3;0.0;3;0;12;1;75.0;1;11;0;0;Match Report;;;;;;;;;;;;;;;;;;
Mohamed Lamine Bayo;2024-05-19;Sun;Ligue 1;Matchweek 34;Home;L 1–2;Le Havre;Marseille;N;DM;18;1;0;1;1;1;0;0;0;10;0;0;0;0.8;0.0;0.0;1;1;4;0;66.7;0;4;0;0;Match Report;;;;;;;;;;;;;;;;;;
Tariq Lamptey;2024-05-19;Sun;Premier League;Matchweek 38;Home;L 0–2;Brighton;Manchester Utd;N;RB,LB;10;0;0;0;0;0;0;0;0;9;0;0;1;0.0;0.0;0.0;0;0;7;1;100.0;1;7;3;0;Match Report;;;;;;;;;;;;;;;;;;
Bruno Langa;2024-05-19;Sun;La Liga;Matchweek 37;Away;D 2–2;Almería;Mallorca;Y;LB;90;1;0;0;0;1;1;0;0;68;4;1;1;0.0;0.0;0.0;1;1;35;1;70.0;1;33;1;1;Match Report;;;;;;;;;;;;;;;;;;
Gianluca Lapadula;2024-05-19;Sun;Serie A;Matchweek 37;Away;W 2–0;Cagliari;Sassuolo;Y;FW;90;1;0;1;1;3;0;0;0;22;0;0;0;0.9;0.1;0.1;6;2;6;2;50.0;0;13;1;1;Match Report;;;;;;;;;;;;;;;;;;
Julien Laporte;2024-05-19;Sun;Ligue 1;Matchweek 34;Home;W 5–0;Lorient;Clermont Foot;Y;CB;90;0;0;0;0;2;0;1;0;49;0;1;1;0.1;0.1;0.0;0;0;27;0;71.1;4;28;1;0;Match Report;;;;;;;;;;;;;;;;;;
