Rk;Player;Nation;Pos;Squad;Comp;Age;Born;MatchesPlayed;Starts;MinPlayed;90sPlayed;Goals;Assists;Goals+Assists;Goals-PenaltyGoals;PenaltyGoals;PenaltyAttempts;YellowCards;RedCards;ExpectedGoals;NonPenaltyExpectedGoals;ExpectedAssists;NonPenaltyExpectedGoals+ExpectedAssists;ProgressiveCarries;ProgressivePasses;ProgressivePassesReceived;Goals/90;Assists/90;Goals+Assist/90;Goals-PenaltyGoals/90;Goals+Assists-PenaltyGoals/90;ExpectedGoals/90;ExpectedAssists/90;ExpectedGoals+ExpectedAssists/90;NonPenaltyExpectedGoals/90;NonPenaltyExpectedGoals+ExpectedAssists/90
1800;Diego Moreira;pt POR;FW,MF;Lyon;fr Ligue 1;18;2004;7;4;270;3.0;0;0;0;0;0;0;1;0;0.7;0.7;0.3;1.0;10;12;23;0.00;0.00;0.00;0.00;0.00;0.24;0.11;0.35;0.24;0.35
1810;Cristhian Mosquera;es ESP;DF;Valencia;es La Liga;19;2004;36;33;3,075;34.2;0;0;0;0;0;0;2;0;0.7;0.7;0.0;0.7;14;77;4;0.00;0.00;0.00;0.00;0.00;0.02;0.00;0.02;0.02;0.02
1814;Youssoufa Moukoko;de GER;FW;Dortmund;de Bundesliga;18;2004;20;4;625;6.9;5;0;5;5;0;0;1;0;3.9;3.9;0.3;4.2;16;15;27;0.72;0.00;0.72;0.72;0.72;0.56;0.05;0.61;0.56;0.61
1819;Divin Mubama;eng ENG;FW;West Ham;eng Premier League;18;2004;5;0;80;0.9;0;0;0;0;0;0;0;0;0.1;0.1;0.0;0.1;0;0;5;0.00;0.00;0.00;0.00;0.00;0.17;0.00;0.17;0.17;0.17
1821;François Mughe;cm CMR;MF,DF;Marseille;fr Ligue 1;19;2004;5;2;177;2.0;0;0;0;0;0;0;1;0;0.1;0.1;0.1;0.2;7;7;16;0.00;0.00;0.00;0.00;0.00;0.05;0.05;0.10;0.05;0.10
1842;Alex Murphy;ie IRL;DF,FW;Newcastle Utd;eng Premier League;19;2004;2;0;13;0.1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;1;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1867;Lapo Nava;it ITA;GK;Milan;it Serie A;19;2004;1;0;3;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1878;Cher Ndour;it ITA;MF;Paris S-G;fr Ligue 1;19;2004;3;0;28;0.3;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;0;2;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1880;Joseph Nduquidi;fr FRA;MF,DF;Metz;fr Ligue 1;18;2004;13;7;751;8.3;0;0;0;0;0;0;2;0;0.2;0.2;0.1;0.2;6;22;4;0.00;0.00;0.00;0.00;0.00;0.02;0.01;0.03;0.02;0.03
1884;Zack Nelson;eng ENG;MF,DF;Luton Town;eng Premier League;18;2004;2;0;7;0.1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
